review,rating
"banyak driver pada males jemput. rata² semua driver chat ""kalau pesan jangan pilih HEMAT"" GILA emang, jelas² di aplikasinya ada opsi pilihan ""hemat"" ya otomatis bakal bisa dipilih lah, kalo gak mau dipesen hemat demonya ke perusahaan dong jangan ke customer!! ngebuang² waktu buat nunggu lamaaaa bisa sampe 1 jam lebih. dan minta customer buat cancel tapi mereka gak mau langsung cancel! btw case ini kebanyakan di area Jogja",1
pelayanan nya keren,5
"opsi order searah nggak guna, sistemnya memerah driver",1
bisa diminta ngebut drivernya,5
aman,5
oke,5
drivernya oon . masak gak tau pake google maps,1
kuranng respon,1
bagus sekali,5
mudah dan cepat,5
sulit dpt drever krn go hemat,1
baik semua,5
luar biasa pelayanan Memuaskan Konsumen,5
"sangat"" membantu",5
gojek terbaij,5
sangat mudah dan membantu. terimakasih gojek,5
aplikasi tolol,1
"saya menyerah menggunakan aplikasi ini. driver yang saya dapatkan selalu jauh atau tidak dapat dihubungi. saya selalu terpaksa cancel driver dan itu membuat saya merasa bersalah.saat saya sudah mendapatkan driver lain, saya tiba"" diberikan driver lain sehingga saya harus cancel driver terbaru. harga yang diberikan karena kebanyakan cancel juga makin tinggi. tolong diperbaiki lagi sistemnya. saya lelah.",1
tepat waktu,5
good,5
berguna,5
super ngebantu pollll,5
ok,5
masa orderan makanan masuk tempat saya padahal saya diluar gojek ke kantor (ini orderan pemerasan ya)suruh bayar makanan tapi saya gak pesan,2
"aplikasi tidak bisa membantu, sy download gopay plus selalu ditolak trus 😡😡😡😡😡😡😡",1
oke .. drunggu diskon2nya,5
mantap,5
"Kecewa banget sama aplikasi ini. menyediakan fitur game dengan hadiah koin, namun ga mau rugi malah user ga dikasih imbalan koinnya. Udah capek² main buang waktu buang kuota.",1
mantap,5
good operational,5
"bagus, dan bermanfaat sekali",5
Baik,5
mantaf azip yahud weded well pokonamaj,5
good,5
sangat memudahkan rakyat kalangan bawah untuk melakukan perjalanan harga nya juga murah banget,5
ok,5
banyak promo,5
mantapp banget,5
"Gocatnya eror min, gk bisa di kasih makan dan absen",4
baik,5
nyaman dan aman,5
alhamdulillah nyaman,5
sering dpt diskon 🫰🫰,5
pelayanannya baik dekali,5
sangat membantu,5
"duit gue nyangkut 1,5 ga balik balik guys udh 2 tahun,hti hti kata gue mh nyimpen duit di gopay atau gojek,udh cukup gue aja yg kena",1
bolehhh lahh,4
bermanfaat,5
keren,5
sangat membantu,5
toppp pokoknya,5
eror mulu nih aplikasi,2
3 kali mesan. ketiga tiganya ngak ada driver,1
"aga kecewa si ama driver nya, 2jam gw terbuang sia sia",1
"OF COURSE MEMBANTU BANGET SIH UNTUK BERPERGIAN TRS UNTUK YG PADA MLS BELI MAKANAN DI LUAR BISA DI ANTAR LEWAT GOFOOD, perfect bet dh",5
Ekosistem dibenahin. Order dari setengah 1 gak dapat driver. jam 1 sampai setengah 2 ga dapat driver.,1
"ribet banget kalo udah pesen belum dari beberapa detik gabisa di batalin, apa kita mau batalin terus pake voucher atau tambah makan/minum. ini ribet bgt udah buru2 dikemas sdngkn drivernya aja belum ada alias lama.",2
pakai goride hemat ternyata banyak yang tidak mau ambil orderan nya..di karenakan driver harus daftar untuk mendapatkan goride hemat dan per orderan di potong 2k..jadi kalian banyangkan banyak goride hemat pada di tolak.apalagi posisi jam sibuk dan malam hari pasti banyak di tolak driver karena harga ya sama dan di potong pula..,1
serba guna,5
bagus,5
bagus,5
susah cari driver,1
fittur gopay letter gak bisa akses padahal pengguna lama .aplikasi gk guna mending pakai maxim aja,1
Makasih,5
susah banget mau dapat driver,1
mantap,5
kenapa ya kalo aplikasi lama itu gak promo nya tapi kalo aplikasi baru mah banyak promo nya aneh jangan di bedakan donk gojek,1
mkcihwwwww bayak ada aplikasi gojek membat saya lebih gampang,5
saya beli tapi tiba tiba di cancel sama gojeknya Saay coba hubungin katanya dicancel padahal aplikasinya berjalan,3
Tetima kasih atas semua apresiasi yang sdh diberikan...,5
sangat mengecewakan... memberikan rute terdekat bukan tercepat,1
Akhir akhir ini sulit dapet driver gofood,1
"APLIKASI OKE TAPI APA APA DI BUAT MAHAL, DRIVER SELALU GA MAU AMBIL ORDERAN UDAH NUNGGU LAMA JUGA UJUNG UJUNG NYA DI CANCEL TOLONG DI PERBAIKI",1
ok,5
ga pernah dapat promo yg fantastis,2
"pelayanan baik, dan lancar sampai tujuan",5
"gaada yang mau ngambil pesanan karena diskon. jadi gojek yang nganter gamau ngambil pesenan nya, lalu tidak sesuai estimasi waktu sampai dan jauh lebih lama. tolong buat gojek ambil orderan nya jangan kalau premium aja baru langsung cepet",1
saya mesen makan sapek 4 kali tapi gak dapet driver jadi saya gak makan semaleman tolong dong,1
"biar apasih nomor telepon penerima di marketplace di sensor? driver jadi susah hubungi penerima apalagi kalo anter ke kantor, alhasil paketnya di retur jadi kasian driver nya, mending pindah ke ijo sebelah daripada pake gojek sistem sampah",1
mantap,4
mantap...,5
bagus,5
"kecewa bgt sama gojek, armadanya banyak yang sombong sama orderan sering bgt driver minta cancel aja alesannya karna bayarannya GK sesuai, jadi opang aja klo mau nembak2 harga",1
simpel dan lebih mudah,5
driver pilih pilih nominal pesan gak rispek wok,1
baik,5
good,5
bikin darah tinggi pake aplikasi ini!,1
Untuk transfer pakai gopay biasa udah gak bisa. HARUS upgrade jadi GOPAYPLUS. Mana harus pakai foto selfi ktp lagi macam pinjol,1
ok,4
sangat nice sekali,5
"ongkir food jadi mahal banget tanpa ada promo2 lg, mending offline atau masak sendiri, usaha resto omzetnya berkurang drastis padahal harga tidak dinaikan",5
saya sangat kecewa saya termasuk pengguna lama di aplikasi ini dan sering transaksi baik dengan Gopay atau gojek tapi tetep tidak bisa mengaktifkan gopay later dan gopay pinjam cuma dapat notif saja 👎🏻👎🏻👎🏻👎🏻,1
okok,5
ok,5
very good job,5
cepat tepat dalam merespon konsumen,5
gg dah,5
mudah dan bermanfaat,5
perfect,5
Sangat membantu untuk perjalanan sehari-hari,5
"selama pakai gojek aman"". thanks gojek",5
"kdg gojeknya motornya atau platnya ga sesuai sama yg di aplikasi, kadang suka lama",4
mantap,5
mudah penggunaannya,5
gopay mantap dalam bertransaksi,5
"wahai gojek, sepertinya anda harus mulai bebenah dengan sistem anda yang bobrok. menunggu 1 jam driver selalu menolak. entah karena bayarannya terlalu banyak dipotong oleh biaya admin atau apa namum semakin kesini semakin sulit mendapatkan driver. yah chef yang paling tau kondisi dapurnya sendiri jadi tolong bebenah biar driver juga makmur",1
👍,5
mantap,5
"sopan, ramah, itu yg paling penting.",5
pendapatan makin menurun,1
SUSAH DPT DRIVER KDNG SAAT² HEPTIC GK ADA YG MAU TERIMA ORDERAN! HPUS AJ APK NY,1
good lah,4
bagusssssssss,5
oke,5
mantap,5
"perbaiki fitur bayar dgn qris nya atau hilangkan permanen fitur qris dr aplikasi gojek nya...,lama2 nyusahin melulu pas mau bayar loading2 lama & hrs ngulang2.",1
"saya pengguna 2 ojol ijo. seringnya buat pesen mkanan. tp kenapa ya gojek ini selalu kebingungan nyari titik lokasi,tp apk sebelah mh lgsg ketemu. padahal titiknya sama,petunjuknya sama,detail lokasinya udh tertera. apanya ya yg harus di perbaiki?",4
terimkasih .cepat dan kurirnya juga ramah.besok sya pesen lagi ya,5
sippp,5
"TOP,,,, KEREN,,,OKE,,,",5
gajelas nih aplikasi tiba tiba gangguan pas lagi dipake buru buru,1
gopay pinjam ny gbsa d pke ... pdhl byr ny lncar2 aja,1
saya sudah benar alamat nya tapi di gojek langsung di arahin nya berbeda,1
"bagus aplikasinya, kalo ada kendala cepet diselesaikan",5
terlalu mahal,4
"gojek Batam pada malas-malas di hari hujan. Orang pada mepet & repot kalo hujan, ntah gk ada kendaraan atau Gk bisa jalan.",1
good job,5
jangan sesekali pernah meminjam pinjaman gojek Dc nya suka mengancam ..mau menyebarkan data pribadi bahkan menghubungi nomor selain kontak darurat saya baru terlambat satu hari ..tetapi tiap detik selalu diteror dengan ancaman dari pihak DC,1
semua bagus,5
Aplikasi ini bagus,5
mantap banget semua pelayanan nya enak,5
enak,5
"Driver lu kalo ga niat ambil orderan kasih sanksi lahh jangan buang waktu orang. Orderan diterima tapi dia malah pergi jauh dan gamau batalin booking, sampe customer yg harus batalin sendiri. Kalo kyk gitu kan gua jadi tambah susah dapet driver krna keseringan batalin booking gara-gara driver lu yg ga jelas. Niat pake gojek biar praktis, cepet, tapi malah kyk gini. Padahal gua kalo bayar juga selalu lebihin buat driver nya, ngga pernah gua kasih uang pas pasan. Tapi driver lu nya yg gatau diri.",1
Sangat membantu,5
nice trip,5
order gofood agar diperhatikan apabila malam sering jln yg diportal dan kalau bisa map gofood dibuat seperti map goride jd bisa sama dgn google map yg bisa pindah rute,5
Aplikasi yang sangat berbahaya,5
efisien,5
cepet,5
terimakasih,5
sangat membantu keseharian,5
"aku berhentikan langganan gofood plus malah aku di anggap melanggar penggunaan gofood dan promo ku dicabut, halo aku langganan terus loh ga pernah masalah baru ini kucabut dan gofood plus ku masih aktif loh kok gini pelayanan nya gojek sekarang :( kecewa sekali bahkan ga ada kejelasan, pelanggaran apa yang aku lakukan?",1
cepat dapat driver nya,4
Marvel Wonderfully!,5
sehat selalu untuk teman gojek semua,5
siip apk yg membantu,5
sampai sekarang ini pelayan nya cukup buat kita puas,5
ok,5
mudah dan cepat,5
orangnya ramah..dan mnyenangkan,5
mantab lah pokok nya,5
puas,5
abang-abangnya baik banget 👍👍,5
"Pas oke keren sip lah pokoknya, mas2 kurir dan ojol saat ini tetap terbaik",5
bagus aplikasinya,5
tolong dong kalok lagi naik goride itu gak usah nerobos lampu merah😔🫵,3
Mantap Guys 👍👍👍👍👍👍👍,5
👍,5
angkutan nyaman dari pintu rumah sampai tujuan,5
ok,5
mantap,5
sangat baik,5
"kemarin siang sekitar jam 11.12 tanggal 17 April 2026 saya order gojek, driver pertama kalau tidak salah atas nama NUR HARDIYANTO nomor motor AB sekian IX menolak/membatalkan pesanan saya, driver atas nama ini sudah sering sekali menolak/membatalkan pesanan saya padahal saya lihat motor dan helm dia ada di teras rumahnya karna kebetulan jarak rumah saya dan dia dekat sekitar 50 meter saja",2
ok...the best,5
tetaplah semangat 💪,5
aman,5
good,5
mantap,5
kecewa,1
sangat membantu,5
👎,1
terimakasih gojek selalu andalan,5
best deh pokok nya drevernya ramah ramah baik semua yang saya temuin 😍😍😍,5
mantap cocok untuk berpergian mudah,5
Menu Order Go Ride Instantnya Hilang 🥲,3
sangat membantu saya dalam hal apapun,5
telat mulu pesen makanan aja 2jam,1
paling gasuka kalo dpt driver yg bawel apalagi marahin customer nyaa padahal tinggal nunggu aja bntar geh marah,3
mobilisasi menjadi sangat mudah...nice,5
bagus,5
"setelah saya tahu kalo customer juga diberi rating sm driver, namun ratingnya tidak bisa saya lihat di aplikasi. buat saya ini gak fair. saya selalu memberi rating 5 utk driver apapun kondisinya, selama itu ga membahayakan nyawa saya. akhir2 ini, saya susah mendapat driver. apakah karena rating sy jelek? berdasarkan apa para driver kasih rating saya jelek? karena tidak ngasih tip? atau tidak suka di ajak ngobrol? atau apa?",2
murah,5
sngat menemani jaga malam kami,5
"syaa kesal karena driver yg sy pesan buat sya menunggu slama kurang lebih 20 menit sya cht tidal dibalas, sy tlpn tidak diangkat, tpi sy ttp sbar mnunggu tetapi sih pihak driver tidak merespon pdhl awalnya yg dri 6 mnit itu jadi 5 mnit tpi kmbli lagi lebih lama ke 7 mnit kesal krn sy bru pulang kerja dimalam hari tandai ya nama drivernya (agus antoni kristian marpaung) msi sy simpan ss muka nya dn sy tandai dia pdhl sy cht centang dua loh apalah slhnya klau drri awal itu gak ush di Terima lah .",2
semoga sukses,5
tambahin dong promo2nya,5
untuk pengguna gojek semua harus tau. saya pelanggan setia gojek dari 2015. gojek skrg knpa sistem Nya bobrok. dpt driver jauh trus.. bikin order terdekat 1kilo paling jauh dari driver . ini bisa 3kilo lebih. saya pakai gojek brph pun saya bayar. benerin sistem yg bener kasihan driver jauh ambil Nya. cuma dpt 10k. saya bayar 15k. ternyata kejam juga ya sama driver aplikator. klo gini mending ke tetangga sebelah naik nya. ga tega lihat driver gojek di siksa sama aplikator. terima kasih,1
good,5
saya agak ga suka gabisa batalin gopay pluss emosi saya asli merugikan bukannya untung,1
mantap,5
ad tagihan di google play yg ga masuk akal,2
"baguss, cuman kadang ada driver yang nyebelin songong plengeran, harus di perhatiin kalo ada driver yang kaya gtu biar langsung di pecat ajaaa okeem.... cuman selebihnya okee lah",5
bagus sangat membantu,5
selalu dapat driver yg baik 👍👍👍,5
aplikasi susah dibuka,1
Order go food buang2 waktu krn drivernya banyak yg males ambil order & sengaja ngulur2 waktu supaya dicancel oleh sistem atau konsumen. Klo ngga terpaksa sebaiknya jangan pakai layanan go food & beli sendiri aja di resto.,2
lama2 gak suka sm apk gojek ini .buruk bgt,1
kami sebagai costume gojek kenapa law pesan gorede drever jauh jauh kadang minta cancel jadi kami pesan maxsim jah lebih dekat drever ny untuk para pengguna aplikasi pesan maxsim lebih dekat drever,1
cepet dan mudah d perguna kan,5
"Aplikasi terbaik, semoga promonya gak putus²",5
sangat membantu.,5
Saya kecewa dgn aplikasi gojek disuruh upgrade paylater.tdnya saldonya 1.8 jt pas upgrade malah trun jd 500 rb.ini mah namanya kebohongan publik.seharusnya lbh ditingkatkan lg saldonya.padahal saya tdk pernah bayar telat.lumayan klo buat bli food dan bayar ojek motor buat pergi/plng kerja n buat jalan2,5
ok mantap,5
jos,5
oke jambreee,5
"bagus, berguna, dan.. sering dapet voucher diskon.. eaaa. .",5
"Beberapa kali order gofood, tapi selalu susah driver padahal lagi banyak driver di sekitar Dan gabisa langsung dibatalin karna estimasi waktu menunggunya lama banget kadang sampai restonya udah tutup Mohon untuk ditinjau ulang dan diperbaiki sistemnya karna selain merugikan customer juga merugikan penjual",1
lama banget nunggu nya,3
kurang responsif dan sering kali error,1
Bagus dan Cepat,5
parah. dapet driver jauh² terus. giliran dapet Deket posisi ga gerak² hilang ga kelacak. ada promo murah juga ga bisa² dipake karena susah dapet drivernya,1
penjemputan tepat waktu👍👍👍👍👍,5
sip mantap,5
"Saya memesan, hanya untuk menunggu lebih dari 30 menit dan dibatalakan oleh driver",3
perjalanan lebih gampang,5
most of drivee gojek really have bad attitude,1
sering dapet driver jauh padahal deket rumah banyak driver yang lagi nunggu oderan malah di beri driver nya jauh banget jadi saya kesiangan perbaiki lagi sistem nya,2
"Kok kinerja nya tambah buruk. Pesen makanan yang jarak restoran bisa di tempuh jalan kaki 15 menit, masa pakai gojek harus nunggu 1 jam baru dapat diantar. Servicenya juga buruk, driver baru ada 1 jam kemudian. Apakah ini cara aplikator membuat driver jadi telat terus atau memang ada masalah lain? Tulisan aja ""Tepat Waktu"" 1 jam dibilang ""Tepat Waktu""? Pilihan kalau 1 jam berlalu hanya ada ""Batalkan""...😰BATALKAN!?😡""DENDA"" lebih baik!!!😫 MAAF KALAU SAYA KASAR!!!🥺",1
gojek keren is the best pelayanan cepat dan akurat mantap GOJEK,5
"gojek sekarang lemot, driver ga jalan, nyampenya lama ga sesuai estimasi",2
"Saran : jgn terlalu sering utk meminta up date aplikasi, pdhl br bbrp minggu kemaren br di up date",5
"driver salah antar makanan, jadi kami rugi",1
semoga makin byk diskonnya biar ga beralih k aplikasi lain,5
"aman & nyaman, drivernya kalem",5
good best driver,5
good,5
okee,5
good,5
Terima kasih.,5
bagus,5
sangat membantu,5
bagus,5
mantapp,5
memudahkan bgttt,5
bagus.. puas atas. pelayanan nya,5
bermanfaat untuk kami dan umumnya masyarakat,5
bisa nggak harga kayak maxsi,5
More Good Services. More Excellent,5
good,5
sangat membantu dalam hampir segala hal,5
mntap,5
gofood yg sangat lama,1
suka pelayanannya,5
penentuan rute sering tidak sesuai,4
sangat bagus menurut saya💯😻👍🏻,5
"bagus banget, cari pengantarnya pasti cepet",4
mantap 😆😆,4
bagus dan memudahkan orang jika ingin pergi,5
lebih oke dari sebelah,5
"Gopay pinjam tidak di setujui, padahal pembayaran lancar",1
bagus,5
saya tanya ke driver hanya dapet 8.800 sedangkan argo 17500. wow besar sekali untungnya gojek,5
efisien waktu,5
membantu sekali jika lagi mager,5
mantap,5
bagos,5
akhir2 ini kenapa sering bgt dibatalin sistem si saya kalo pesen tuh bisa 2 jam pesen doang belom nunggu di anternya dibatalin terus. gatau sistem eror atau apa padahal udah dapt driver udah lagi dijmput udah nunggu lama dibatalin tanpa info gajelas bgt,1
bagus aja lah btw tim FURABBB,5
good aplikasi,5
bagus,5
mantap,5
"aplikasi tidak bisa di buka setelah login, padahal sudah bbrp kali di uninstal lalu pasang lagi, trs hapus chace, trs Internet ok, tp masih tetap tidak bisa di buka, itu harus gmn lagi ya",4
manttaabb,4
sejauh ini ok,5
aman,5
Aplikasinya sangat membantu tapi tolong di update telfon dan chat dari driver kadang ga masuk notif klo kita keluar apk,5
"penyakit nya selalu sama dr dulu, setiap mesen sesuatu tujuan alamat pengguna selalu diubah ubah sendiri semaunya, GA BERUBAH. selalu aja, kenapa si error nya ga diperbaiki?????????",1
ok,5
bagus,5
driver nya manja banget masa ga terima pake gocar hemat minta uang tambahan klo ga di kasih mulut nya lemes mojokin penumpang.,1
"aplikasi parah dari bulan maret 2026 hingga sekarang aplikasi gojek tidak bisa dibuka, saat mau pilih pesan motor langsung terpental keluar",2
"saya mau lunasi gopaylater kok gak bisa di klik, malah ada tulisan tidak di temukan. jadi jgn salain sy klo ga sy byar ye,sy ogah byar bunganya yg trus nambah kelak",1
MAHALL BGTT PLSSSS,1
mantap terima kasih banyak🙏,5
mantap,5
ws gojek pokok e mantap tenan dah,5
sangat membantu.,5
tolong klo pesen makanan di aplikasi gojek saya liat2 menu makanan dan minuman harga sekian2 tpi ongkirnya melebih harga pesenan di menu gokil mahalan ongkirnya di banding pesenan,1
klaim kecelakaan nya bertele²..,1
oke dah pokoknye,5
aman,5
sangat bagus.,5
lama banget dapet driver jadi telat,1
Agung,5
sangat membantu,5
"sekalinya cacat kordinator ngelamain, aplikasi tidak mengambil lokasi penjemputan secara presisi",1
cepat hemat dan nyamaan,5
cepat dan driver nya oke2,5
apalah janck notifikasi nya telat banget kocakk,3
oklah,5
"kasi tau ke driver anda kalo gak niat ambil penumpang gausah di ambil ,saya udah nunggu lama malah tiba tiba di cancel, mending kalo ad omongan ini di chat diem aja",1
puas,5
kasih diskon lagi dong,5
good,5
baik,5
apaan sih ini aplikasi ini udah 3x gw ngisi saldo di gopay kenapa tiba tiba saldo gw langsung hilang gw minta tolong ke pihak aplikasi gojek ini segera perbaiki aplikasi nyah biar saldo kagak hilang sama sekali bukan nyah gw tadi udah mengisi saldo 3x terus giliran gw mau mesen gojek saldo gw tiba tiba hilang kan gw kagak bakalan pakai gojek lagi kalau belum selesai di perbaiki gojek ini,1
apk tidak guna dikala hujan apus aja tu gocar,1
ok,5
murah,5
asyik dan menyenangkan,5
"kalau nyari yg harga nya murah slalu ngelag, lama, gak dapat"" sampai 30 menit gagal... giliran yg mahal cpet banget.... jadi apa gunanya di apk ada pilihan yg murah klo gak bisa di pkai",1
mantaff,5
luar biasa,5
opsi goride hemat kok ilang ya min,4
good,5
udah lama nunggu drivernya gak ada yang terima padahal di sekitar banyak gojek yang lewat,1
makin sering dipake makin mahal dan makin susah dapet driver,1
di sediain harga murah malah gada yg ambil padahal sama aja uang gmna sih driver teh klo ganiat kerja gausah,2
"mempermudah kita mau kemana aja,apa lg q yg g bs baca google Jd dg adanya aplikasi gojek ini sgt membantu 🥰",5
ok,5
sippppppppp bgt,5
ok,5
"mantap,,sejauh ini aman alhamdulillah",4
"sangat membantu,transportasi online",5
mantaps,5
bagus,5
"baik dalam pelayanan,dan ga tunggu lama langsung ger cep.oke pokonya.siiiiip👍",5
bagus banget,5
klu kulineran kurang lengkap menu nya,4
sangat membantu,5
ongkir kemahalan,3
so far so good,4
keren,5
udah nungguin makanan sejam GK tau nya GK dapet dapet driver suruh nganggur aja tu driver Klian klo pada males kerja,1
mantap 👍,5
"Ini Apk. gue Uninstal. Kecewa banget! udah sering banget kecewa, Resto udah tutup tapi masih nerima pesanan. Drivernya tiba di Resto, resto udah tutup tanpa inform. Lu ngerugiin gue dan driver bangke😭",1
mantap pokoknya...,5
"tolong dong, untuk customer, buat bisa review resto pakai gmbr kyk sebelah, biar gk cuma tulisan saja, biar ada bukti real gitu, sekalian buat customer jg bisa liat ratting pribadi yg dikasih driver, jgn cuma pihak driver saja yg bisa liat, makasih",5
bagus,5
oke banget pokoknya,5
good,5
gimana mesan gofood dari jam 5 sampe jam setenga 7 tau2 batal tidak dapat driver,1
"kenapa sih ada driver deket tapi gak nerima orderan saya? nungguin lama banget, gak ada yang nerima sama sekali.",2
terlalu banyak driver skem,1
Memuaskan,5
good job untuk gojek,5
oke mantab,5
"untuk gofoodnya ga ngotak bgt biaya penanganannya , untuk gojek gocar ok.",2
masih aman,5
ok,5
sangat membantu antar jemput anak,5
"cepat, nyaman dan aman",5
josss,5
"sesuai kebutuhan masyarakat, top bgt",5
cuma gopay later ya ga bisa di pakai,5
saya sedikit heran dengan layanan gojek saya dapat komplain dari salah satu driver mengatakan kalo rating akun gojek saya 4.15 padahal setiap kali saya order gojek... driver nya selalu saya kasih tip setiap perjalanan dan tip nya pun bukan harga kecil tapi selalu di atas 50 ribu. itupun setiap saya pesan driver tetapi saat saya pesan gofood malah di bilang rating saya 4.15,2
top,5
"sangat membantu,memudahkan dan cepat respon",5
ok,5
"driver sangat ramah, dan nyaman dlm berkendara",5
sangat membantu utk transportasi cepat dan murah,5
aku yg terburu2 ngejar wkt...terselamatkan sm Bpk drivernya...pokoknya the best lah ..mksh y pak👍👍💪💪💪💪💪💪,5
Good,5
alhamdulillah aman pelayanannya baik,5
gausah sok asik,1
senang seklai,5
aplikasi ini sangat lahh nyaman kalau lagi genting,5
Driver nya ramah dan tidak ngebut-ngebutan.,5
aplikasi ini sangat membantu saya dan pelayanannya baik sekali,5
"Min, kenapa saya tidak bisa update?",1
sangat amat membantu .🤗🤗,5
slalu ada saat dibutuhkan..huahahahahah....,5
lebih nyaman aman,5
"Dengan adanya goride Hemat saya rasa malah menyiksa driver.kasian drivernya cm dapet rp 8,500 doang",2
mantap,5
ok,5
udah gada gojek hematnya lagi:(,3
sudah bayar lunas malahan gak bisa tarik dana aplikasi tolol,1
"makin jelek pelayanan nya,,,nunggu hampir 1 jam ga ada yg ngambil orderan padahal jarak ga terlalu jauh",1
2 kali ini saya dapat keluhan dari driver Gocar katanya potongan nya tinggi trus yg terakhir ini saya siminta di openin katanya sya gk ngerti maksudnya taunya udah sampe tujuan disuruh batalin trus duit nya disuruh transfer ke rek driver artinya dia gk mau pake aplikasi tolong dipertimbangkan kesejahteraan driver biar gk curang atau ngeluh mulu,4
good aolikasi,5
ok,5
"bagus bangett, banyak in diskon nya dong",5
mantap,5
"1. CS lama membalas 2. tertulis transaksi di batalkan dan refund, tp saldo tidak berubah 3. CS bilang gabisa refund karna transaksi berasal dr akun dan silakan cek riwayat. pdhl di riwayat tertera REFUND namun saldo tidak dikembalikan.",1
"Bapak Gojeknya baik sekali, sholeh. Semoga rezekinya semakin melimpah dan berkah. Aamiin Ya Rabbal alamin",5
super muantap,5
mantap sihh bermanfaat banget terimakasih,5
"Maaf saya kasih B1 untuk mewakili para driver yg kalian tindas dng segala kebijakan yg hanya menguntungkan perusahaan tanpa memperdulikan driver, terimakasih",1
penjemputan terlalu jauh,1
"sulit untuk melaporkan masalah aplikasi ke CS, karna sudah diberikan pilihan. sedangkan untuk kasus baru yg tidak ada di pilihan tidak bisa dilaporkan karna tidak bisa mengetik pelaporan. masalah saya adalah ketika pesen gocar, saya diarahkan pada trek lewat tol dan lebih jauh sehingga ongkos yg harus saya bayar hampir 2 kali lipat dari seharusnya, tapi ketika pengantaran drivernya mengantar saya lewat jalur non tol, ya karna memang lebih dekat lewat non tol. tolong kedepan diberi opsi jalur.",3
Ok,5
mohon tambahan fitur lokasi ketik manual(dulu kejadian karna salah posisi sedikit terhs tidak bisa ketik manual driver marah marah karna jalan lebih jauh dan memaksa minta tip padahal saya sudah benar memasang titik),4
Not Bad,5
mantap,5
the besst,5
is oke,5
manajemen Gojek program nya bikin driver dan restoran hancur,1
Good experience,5
"aplikasi sanggat parah ,argo semakin ancur ( para drever hanya d siksa demi kepentingan aplikator ) tiapa ganti pemimpin aplikasi bukan tambah bener malah kacau",1
good,5
memudahkan,5
"pelayanan baik,. sangat membantu",5
kode pin paket gosen bikin ribet. kalo pelanggan ngak bisa di hubungin bikin ribet driver. males bngt jadinya,3
Sekarang dpt driver terutama order gosend susah bgt! mungkin karena tarif atau apa. Mau pake reguler atau promo sama2 susah. Ga seperti dulu skrg gojek.,1
Ok,5
"topup pun d potong! parah! dah lah makin mahal, makin lambat lg saatnya beralih",2
tolong bantu saya top up kuota Im3 lewat gopay tidak masuk masuk sampai sekarang,1
"hari ini tanggal 16/4 2026 d aplikasi gojek saya,, ongkir gofood tidak ada yg biasa hanya ada yg cepat Rp.20.000 an dan harganya meningkat dan hampir saya seperti harga makanan 27.000 ,, knp tidak ada ongkir yg biasa tidak bs di klik dan harus mengklik yg onkir cepat..padahal jaraknya dekat ya",5
mantap,5
menyenangkan,5
"entar entar, Update.",5
mantab...,5
ok,5
